Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C5, C6, C7, C8, C9",CAP_0.1uF_50V,15,0.1uF,C127833
C19,CAP_0.1uF_50V,1,0.1uf,
"C2, C3",CAP_47nF,2,47nF,C3019600
"C20, C4",CAP_10uF,2,10uF,C440198
"FB1, FB2",Ferrite_220,2,220,C160973
IC1,TJA1050T,1,TJA1050T,
J1,molex_5pin,1,Enc1,C293664
J10,CONN_3pin_jumper,1,jumper2,C5346215
J11,CONN_3pin_jumper,1,jumper4,C5346215
J12,molex_5pin,1,Enc2,C293664
J13,molex_5pin,1,Enc3,C293664
J14,molex_5pin,1,Enc4,C293664
J15,molex_5pin,1,Enc5,C293664
J16,molex_5pin,1,Enc6,C293664
J17,CONN_3pin_jumper,1,jumper6,C5346215
J2,booster headers,1,Booster,
J4,CONN_3pin_jumper,1,jumper1,C5346215
J5,HEADER_3pin,1,Roboclaw1,C588704
J6,HEADER_3pin,1,Roboclaw2,C588704
J7,HEADER_3pin,1,Roboclaw3,C588704
J8,CONN_3pin_jumper,1,jumper3,C5346215
J9,CONN_3pin_jumper,1,jumper5,C5346215
P2,HEADER_4pin,1,loadcell 1,C293663
P3,HEADER_4pin,1,loadcell 2,C293663
P4,HEADER_4pin,1,loadcell 3,C293663
P5,HEADER_4pin,1,loadcell 4,C293663
"R1, R16, R2, R3",RES_60,4,60,C3994751
"R10, R13, R4, R7",RES_510,4,500,C1881350
"R11, R14, R5, R8",RES_33k,4,33k,C728559
"R12, R15, R6, R9",RES_12k,4,12k,C114760
U1,MODULE_ESP32-P4-ETH,1,ESP32-P4-ETH,
U2,BNO_055,1,4754,
"U3, U5, U6, U7",INA118PB,4,INA118PB,C1346736
U4,REF2033QDDCRQ1,1,REF2033QDDCRQ1,C3679601
U8,SOT95P280X145-5N,1,level shifter,
