Designator,Mid X,Mid Y,Rotation,Layer
C1,124.2,-101.268,90.0,top
C10,181.3,-104.6,270.0,bottom
C11,171.0,-96.9,180.0,bottom
C12,181.5,-85.6,90.0,bottom
C13,181.6,-90.0,270.0,bottom
C14,170.9,-82.0,180.0,bottom
C15,181.5,-70.9,90.0,bottom
C16,181.6,-75.1,270.0,bottom
C17,171.0,-67.7,180.0,bottom
C18,135.65,-95.282,270.0,bottom
C19,139.575,-100.425,90.0,top
C2,131.3,-110.8,90.0,top
C20,148.3,-107.7,90.0,bottom
C3,131.3,-105.9,270.0,top
C4,137.9,-95.8,270.0,bottom
C5,181.6,-115.6,90.0,bottom
C6,181.6,-119.7,270.0,bottom
C7,171.0,-111.4,180.0,bottom
C8,173.4,-64.4,270.0,bottom
C9,181.5,-100.3,90.0,bottom
FB1,140.3,-95.0,270.0,bottom
FB2,145.7,-108.1,90.0,bottom
IC1,129.1,-100.8,0.0,top
J1,136.3,-84.76,90.0,top
J10,183.6,-38.6,0.0,top
J11,183.6,-47.2,0.0,top
J12,136.3,-67.22,90.0,top
J13,136.2,-49.82,90.0,top
J14,127.3,-84.78,90.0,top
J15,127.3,-67.22,90.0,top
J16,127.3,-49.82,90.0,top
J17,183.2875,-56.8,0.0,top
J2,194.78,-104.635,90.0,top
J4,183.6,-35.3,0.0,top
J5,171.86,-36.7,0.0,top
J6,171.86,-46.0,0.0,top
J7,171.96,-55.4,0.0,top
J8,183.6,-44.1,0.0,top
J9,183.2875,-53.7,0.0,top
P2,179.338,-116.1761,270.0,top
P3,179.338,-101.2761,270.0,top
P4,179.4,-86.47,270.0,top
P5,179.4,-71.67,270.0,top
R1,126.1,-110.4,0.0,top
R10,171.16,-89.72,180.0,bottom
R11,170.9,-85.1,180.0,bottom
R12,170.9,-83.7,180.0,bottom
R13,171.0,-75.7,180.0,bottom
R14,171.032,-70.8,180.0,bottom
R15,171.032,-69.2,180.0,bottom
R16,136.4,-106.2,0.0,top
R2,136.4,-110.4,0.0,top
R3,126.156,-106.2,0.0,top
R4,171.1,-119.7,180.0,bottom
R5,171.0,-114.7,180.0,bottom
R6,171.0,-113.0,180.0,bottom
R7,171.032,-105.0,180.0,bottom
R8,171.0,-100.3,180.0,bottom
R9,171.0,-98.6,180.0,bottom
U1,152.5,-83.4,270.0,top
U2,199.3,-72.7,90.0,top
U3,171.036,-115.9,180.0,top
U4,170.2275,-64.05,0.0,bottom
U5,171.032,-101.5,180.0,top
U6,170.93,-86.53,180.0,top
U7,171.0,-72.1,180.0,top
U8,136.0,-101.0,0.0,top
